x y y1
0 1 0
0.000628318 1 -0.000628318
0.00125664 0.999999 -0.00125664
0.00188495 0.999998 -0.00188495
0.00251327 0.999997 -0.00251327
0.00314159 0.999995 -0.00314158
0.00376991 0.999993 -0.0037699
0.00439823 0.99999 -0.00439821
0.00502654 0.999987 -0.00502652
0.00565486 0.999984 -0.00565483
0.00628318 0.99998 -0.00628314
0.0069115 0.999976 -0.00691144
0.00753982 0.999972 -0.00753974
0.00816813 0.999967 -0.00816804
0.00879645 0.999961 -0.00879634
0.00942477 0.999956 -0.00942463
0.0100531 0.999949 -0.0100529
0.0106814 0.999943 -0.0106812
0.0113097 0.999936 -0.0113095
0.011938 0.999929 -0.0119378
0.0125664 0.999921 -0.012566
0.0131947 0.999913 -0.0131943
0.013823 0.999904 -0.0138226
0.0144513 0.999896 -0.0144508
0.0150796 0.999886 -0.0150791
0.0157079 0.999877 -0.0157073
0.0163363 0.999867 -0.0163355
0.0169646 0.999856 -0.0169638
0.0175929 0.999845 -0.017592
0.0182212 0.999834 -0.0182202
0.0188495 0.999822 -0.0188484
0.0194779 0.99981 -0.0194766
0.0201062 0.999798 -0.0201048
0.0207345 0.999785 -0.020733
0.0213628 0.999772 -0.0213612
0.0219911 0.999758 -0.0219894
0.0226194 0.999744 -0.0226175
0.0232478 0.99973 -0.0232457
0.0238761 0.999715 -0.0238738
0.0245044 0.9997 -0.0245019
0.0251327 0.999684 -0.0251301
0.025761 0.999668 -0.0257582
0.0263894 0.999652 -0.0263863
0.0270177 0.999635 -0.0270144
0.027646 0.999618 -0.0276425
0.0282743 0.9996 -0.0282705
0.0289026 0.999582 -0.0288986
0.0295309 0.999564 -0.0295267
0.0301593 0.999545 -0.0301547
0.0307876 0.999526 -0.0307827
0.0314159 0.999507 -0.0314107
0.0320442 0.999487 -0.0320387
0.0326725 0.999466 -0.0326667
0.0333009 0.999446 -0.0332947
0.0339292 0.999424 -0.0339227
0.0345575 0.999403 -0.0345506
0.0351858 0.999381 -0.0351785
0.0358141 0.999359 -0.0358065
0.0364424 0.999336 -0.0364344
0.0370708 0.999313 -0.0370623
0.0376991 0.999289 -0.0376902
